text,label,region,product,created_at,tweet_id,user_id,user_screen_name,lang,retweet_count,favorite_count,reply_count,quote_count,hashtags,mentions,urls,is_retweet,in_reply_to_status_id,geo,source
Terrible experience with the Phone #Sale ☹️,0,Canada,Phone,2025-05-08 01:36:19,,,,,,,,,,,,,,,
Loved this the Tablet @Samsung #Shopping,1,India,Tablet,2025-04-14 00:02:57,,,,,,,,,,,,,,,
Waste of money the Printer — Not what I expected #Shopping 😞,0,USA,Printer,2024-03-28 12:29:27,,,,,,,,,,,,,,,
Terrible experience with the Headphones — Quality is bad 👎,0,USA,Headphones,2025-02-02 15:35:49,,,,,,,,,,,,,,,
One star for the Jacket @H&M — Not what I expected #Shopping ☹️,0,Canada,Jacket,2025-02-15 09:08:38,,,,,,,,,,,,,,,
Would not recommend the Smartwatch @Fitbit — Disappointed #Sale 😡,0,Canada,Smartwatch,2024-01-28 00:41:59,,,,,,,,,,,,,,,
Worth every penny the Headphones @Jabra #Deal 🔥,1,Australia,Headphones,2025-10-02 13:19:56,,,,,,,,,,,,,,,
Fast delivery for the Phone @Samsung 👍,1,India,Phone,2024-05-30 19:49:18,,,,,,,,,,,,,,,
Loved this the Phone @Samsung #Sale 😍,1,UK,Phone,2024-02-05 17:09:28,,,,,,,,,,,,,,,
One star for the Camera — Disappointed 👎,0,USA,Camera,2024-01-16 09:18:18,,,,,,,,,,,,,,,
I'm going to buy the new Laptop soon 🔥 #Deal @Flipkart,1,UK,Laptop,2025-08-11 21:42:52,,,,,,,,,,,,,,,
"The new iPhone is disappointing, won't buy 🙄 @BestBuy",0,Australia,iPhone,2025-09-02 21:19:56,,,,,,,,,,,,,,,
So happy with the Refrigerator #Deal 😊,1,India,Refrigerator,2025-04-04 13:55:06,,,,,,,,,,,,,,,
Regret buying the Furniture @Ikea — Not what I expected #Review,0,Australia,Furniture,2025-11-03 05:27:28,,,,,,,,,,,,,,,
Highly recommend the Laptop 👍,1,India,Laptop,2024-01-25 05:19:32,,,,,,,,,,,,,,,
Not satisfied with the Books #MustRead #Shopping ☹️,0,India,Books,2025-05-29 05:15:58,,,,,,,,,,,,,,,
Regret buying the Tablet @Samsung — Quality is bad #Shopping 😡,0,Canada,Tablet,2025-10-07 23:56:56,,,,,,,,,,,,,,,
Regret buying the Refrigerator @LG #Sale 👎,0,Australia,Refrigerator,2024-09-11 03:43:05,,,,,,,,,,,,,,,
Absolutely love the Printer #Sale 👍,1,India,Printer,2024-04-17 10:41:26,,,,,,,,,,,,,,,
Not worth the price the Phone @Google — Quality is bad #NewLaunch 😞,0,USA,Phone,2024-01-13 03:24:33,,,,,,,,,,,,,,,
I don’t think I’ll buy the Headphones anytime soon #Sale @Amazon,0,UK,Headphones,2025-09-18 16:30:50,,,,,,,,,,,,,,,
Waste of money the Furniture @UrbanLadder — Quality is bad #Shopping 💀,0,Germany,Furniture,2024-06-23 09:42:21,,,,,,,,,,,,,,,
Planning to get a Laptop this week #Offer @Nike,1,USA,Laptop,2025-09-12 06:42:42,,,,,,,,,,,,,,,
Terrible experience with the Watches @Titan — Disappointed #NewLaunch 💀,0,UK,Watches,2025-11-01 23:05:02,,,,,,,,,,,,,,,
Would not recommend the Backpack @Wildcraft #Review,0,India,Backpack,2024-08-27 07:04:06,,,,,,,,,,,,,,,
Finally saved up enough to get the Headphones! 💸 @Sony,1,UK,Headphones,2025-05-20 07:54:25,,,,,,,,,,,,,,,
"The new Shoes is disappointing, won't buy 😐 @Nike",0,UK,Shoes,2025-05-07 03:29:08,,,,,,,,,,,,,,,
Terrible experience with the Refrigerator @Whirlpool — Disappointed #Shopping 💀,0,India,Refrigerator,2025-07-25 03:26:10,,,,,,,,,,,,,,,
Very disappointed by the Cosmetics @Nykaa — Not what I expected #Unboxing 💀,0,India,Cosmetics,2024-09-20 23:06:20,,,,,,,,,,,,,,,
Fast delivery for the Backpack #Sale ✨,1,Germany,Backpack,2024-10-28 16:39:21,,,,,,,,,,,,,,,
Regret buying the Jacket @NorthFace #NewLaunch,0,Canada,Jacket,2025-07-15 07:06:45,,,,,,,,,,,,,,,
Highly recommend the Watches #NewLaunch 😍,1,USA,Watches,2025-06-27 03:04:06,,,,,,,,,,,,,,,
One star for the Headphones @Jabra — Not what I expected #Unboxing ☹️,0,India,Headphones,2024-11-20 03:39:26,,,,,,,,,,,,,,,
Great value in the TV @Samsung #Review 😍,1,UK,TV,2025-06-25 18:40:34,,,,,,,,,,,,,,,
Fast delivery for the Bike @Bajaj ✨,1,Canada,Bike,2025-07-29 18:02:54,,,,,,,,,,,,,,,
So happy with the Phone @Apple #Shopping 😍,1,Canada,Phone,2024-11-17 00:29:45,,,,,,,,,,,,,,,
Absolutely love the Furniture @UrbanLadder #Unboxing 😍,1,India,Furniture,2024-03-22 16:53:07,,,,,,,,,,,,,,,
Just ordered my Shoes! Can't wait to try it 💻 @Sony,1,USA,Shoes,2025-07-22 11:08:14,,,,,,,,,,,,,,,
One star for the Smartwatch — Not what I expected #Sale ☹️,0,USA,Smartwatch,2025-08-15 14:26:05,,,,,,,,,,,,,,,
Late delivery ruined the Bike — Quality is bad #NewLaunch 💀,0,Canada,Bike,2025-10-17 17:45:53,,,,,,,,,,,,,,,
Too expensive for a Laptop. I'll pass #Tech @Apple,0,India,Laptop,2025-07-12 19:35:25,,,,,,,,,,,,,,,
Thinking about buying the Headphones tomorrow #Fashion @Nike,1,UK,Headphones,2025-09-23 14:23:38,,,,,,,,,,,,,,,
So happy with the Camera #Review 😊,1,India,Camera,2024-04-21 03:54:27,,,,,,,,,,,,,,,
Five stars for the Camera @Sony #Shopping 🔥,1,Canada,Camera,2025-04-18 03:08:59,,,,,,,,,,,,,,,
Amazing quality the Printer @HP #Shopping ✨,1,India,Printer,2025-09-02 16:54:57,,,,,,,,,,,,,,,
I'm going to buy the new Laptop soon 💻 #Tech @Amazon,1,UK,Laptop,2025-05-12 01:06:34,,,,,,,,,,,,,,,
Loved this the Tablet #NewLaunch 🔥,1,India,Tablet,2024-04-05 14:56:18,,,,,,,,,,,,,,,
Worth every penny the Furniture @Ikea 😍,1,USA,Furniture,2024-06-29 19:32:11,,,,,,,,,,,,,,,
Planning to get a Laptop this week #Tech @Flipkart,1,India,Laptop,2025-08-28 12:13:37,,,,,,,,,,,,,,,
Skipping the Laptop this time 💀 @Nike,0,USA,Laptop,2025-04-20 17:18:09,,,,,,,,,,,,,,,
Worth every penny the Tablet @Apple #Shopping 🔥,1,India,Tablet,2025-01-02 12:40:22,,,,,,,,,,,,,,,
Would not recommend the Headphones #Deal 💀,0,Australia,Headphones,2024-12-03 09:27:13,,,,,,,,,,,,,,,
Absolutely love the Jacket @NorthFace,1,Australia,Jacket,2025-05-07 08:46:08,,,,,,,,,,,,,,,
Poor quality the Furniture — Disappointed #Deal,0,India,Furniture,2025-03-18 06:58:41,,,,,,,,,,,,,,,
Regret buying the Refrigerator @LG — Quality is bad #Sale,0,Germany,Refrigerator,2024-07-28 11:28:13,,,,,,,,,,,,,,,
Waste of money the Cosmetics — Not what I expected 👎,0,USA,Cosmetics,2024-08-28 14:17:32,,,,,,,,,,,,,,,
Fast delivery for the Books #BookTok,1,India,Books,2024-12-16 10:57:31,,,,,,,,,,,,,,,
Poor quality the Bike — Not what I expected #Review 💀,0,Germany,Bike,2024-02-28 07:09:32,,,,,,,,,,,,,,,
Skipping the Laptop this time 🙄 @BestBuy,0,Canada,Laptop,2025-05-18 15:38:40,,,,,,,,,,,,,,,
Highly recommend the Refrigerator 👍,1,Germany,Refrigerator,2025-09-05 14:46:57,,,,,,,,,,,,,,,
Late delivery ruined the Smartwatch @Apple — Not what I expected #Deal 😞,0,UK,Smartwatch,2025-06-23 05:53:27,,,,,,,,,,,,,,,
Absolutely love the Laptop #Shopping 👍,1,USA,Laptop,2024-02-27 08:12:42,,,,,,,,,,,,,,,
So happy with the Refrigerator @Samsung #NewLaunch 👍,1,Australia,Refrigerator,2025-07-04 14:15:37,,,,,,,,,,,,,,,
So happy with the Cosmetics #Deal ✨,1,India,Cosmetics,2025-03-19 21:39:46,,,,,,,,,,,,,,,
Not interested in purchasing the Shoes 😩 @Nike,0,Canada,Shoes,2025-05-03 08:16:22,,,,,,,,,,,,,,,
"Not buying the iPhone, it's overpriced 😐 @Flipkart",0,Canada,iPhone,2025-06-06 12:59:26,,,,,,,,,,,,,,,
Amazing quality the Phone @Google #NewLaunch,1,India,Phone,2024-09-30 01:18:38,,,,,,,,,,,,,,,
That iPhone looks amazing — I’m getting one #NewLaunch @Sony,1,USA,iPhone,2025-08-10 03:43:03,,,,,,,,,,,,,,,
Loved this the Books 😊,1,USA,Books,2024-01-01 09:50:29,,,,,,,,,,,,,,,
Regret buying the Watches #Sale 👎,0,UK,Watches,2025-02-03 15:44:40,,,,,,,,,,,,,,,
Very disappointed by the Tablet @Apple #Unboxing 😞,0,India,Tablet,2025-03-20 10:13:31,,,,,,,,,,,,,,,
So happy with the Tablet @Samsung #Sale,1,Canada,Tablet,2024-10-04 10:35:10,,,,,,,,,,,,,,,
Absolutely love the TV @LG #Unboxing,1,Canada,TV,2024-07-02 06:12:16,,,,,,,,,,,,,,,
Amazing quality the Tablet #Deal,1,USA,Tablet,2024-02-26 17:17:57,,,,,,,,,,,,,,,
Fast delivery for the Printer @HP 😍,1,USA,Printer,2025-10-19 15:34:59,,,,,,,,,,,,,,,
Not worth the price the Laptop @Lenovo #Unboxing 👎,0,India,Laptop,2025-07-15 03:53:29,,,,,,,,,,,,,,,
So happy with the Furniture #NewLaunch 🔥,1,Canada,Furniture,2024-01-27 19:16:03,,,,,,,,,,,,,,,
Worth every penny the Laptop #NewLaunch ✨,1,UK,Laptop,2024-10-25 01:15:29,,,,,,,,,,,,,,,
Late delivery ruined the Cosmetics @Sephora — Quality is bad,0,UK,Cosmetics,2024-10-15 22:01:10,,,,,,,,,,,,,,,
Finally saved up enough to get the Headphones! 😎 @Nike,1,UK,Headphones,2025-06-16 07:30:52,,,,,,,,,,,,,,,
Highly recommend the TV 🔥,1,India,TV,2025-01-26 20:12:43,,,,,,,,,,,,,,,
"The new Headphones is disappointing, won't buy 🙄 @Apple",0,Canada,Headphones,2025-08-02 01:09:09,,,,,,,,,,,,,,,
Worth every penny the Phone @Google #Deal,1,India,Phone,2024-06-21 02:24:09,,,,,,,,,,,,,,,
The iPhone doesn’t seem worth it #Shopping @Nike,0,Australia,iPhone,2025-06-28 04:19:17,,,,,,,,,,,,,,,
Really excited to purchase the latest Headphones 🛒 @Flipkart,1,India,Headphones,2025-06-24 14:48:47,,,,,,,,,,,,,,,
Loved this the Backpack @Herschel #Sale 🔥,1,India,Backpack,2025-02-20 18:13:53,,,,,,,,,,,,,,,
Loved this the Tablet @Samsung 🔥,1,Canada,Tablet,2024-11-03 06:18:17,,,,,,,,,,,,,,,
Late delivery ruined the Refrigerator @Samsung #Shopping 👎,0,India,Refrigerator,2025-03-09 19:45:12,,,,,,,,,,,,,,,
Great value in the Watches #Unboxing 🔥,1,Germany,Watches,2025-09-25 05:15:09,,,,,,,,,,,,,,,
Not satisfied with the Camera @Nikon — Not what I expected #Shopping ☹️,0,UK,Camera,2024-08-13 16:43:59,,,,,,,,,,,,,,,
Loved this the Bike #Sale 🔥,1,India,Bike,2025-08-21 04:01:59,,,,,,,,,,,,,,,
Fast delivery for the TV #NewLaunch 😍,1,USA,TV,2025-03-06 09:18:53,,,,,,,,,,,,,,,
Poor quality the Backpack @Wildcraft — Disappointed #NewLaunch 😡,0,Australia,Backpack,2024-03-22 04:07:27,,,,,,,,,,,,,,,
The Laptop isn't good enough to buy #Deal @Sony,0,Australia,Laptop,2025-06-26 17:39:57,,,,,,,,,,,,,,,
Poor quality the Smartwatch — Disappointed #Review 👎,0,India,Smartwatch,2025-06-07 18:37:02,,,,,,,,,,,,,,,
"I was going to get a Headphones, but changed my mind 🙄 @Flipkart",0,Canada,Headphones,2025-05-31 08:44:18,,,,,,,,,,,,,,,
"I was going to get a Laptop, but changed my mind 😤 @Sony",0,India,Laptop,2025-05-06 01:33:57,,,,,,,,,,,,,,,
Amazing quality the Headphones @Bose #Review 🔥,1,USA,Headphones,2025-02-08 20:57:45,,,,,,,,,,,,,,,
Loved this the Watches @Rolex #Shopping,1,India,Watches,2025-08-05 20:42:07,,,,,,,,,,,,,,,
That Smartwatch looks amazing — I’m getting one #Fashion @Apple,1,USA,Smartwatch,2025-09-29 05:45:56,,,,,,,,,,,,,,,
Amazing quality the Phone @Apple #Deal 👍,1,India,Phone,2024-12-05 23:35:23,,,,,,,,,,,,,,,
Terrible experience with the Jacket — Not what I expected #Review 👎,0,Canada,Jacket,2024-09-27 16:45:25,,,,,,,,,,,,,,,
Waste of money the Printer — Quality is bad #Unboxing,0,USA,Printer,2024-06-06 16:28:46,,,,,,,,,,,,,,,
Regret buying the Camera — Not what I expected #Sale 👎,0,Canada,Camera,2024-05-01 09:54:21,,,,,,,,,,,,,,,
Would not recommend the Bike @RoyalEnfield — Not what I expected #Sale,0,USA,Bike,2024-10-21 05:21:22,,,,,,,,,,,,,,,
Five stars for the Smartwatch @Fitbit #Deal 😍,1,India,Smartwatch,2024-12-19 01:57:36,,,,,,,,,,,,,,,
Fantastic performance the Gaming Console @PlayStation #Review,1,USA,Gaming Console,2024-10-04 13:45:10,,,,,,,,,,,,,,,
Fantastic performance the Laptop @HP #Sale 😊,1,USA,Laptop,2024-06-12 20:07:16,,,,,,,,,,,,,,,
Would not recommend the Phone @Apple — Not what I expected,0,Canada,Phone,2024-11-12 20:00:09,,,,,,,,,,,,,,,
Skipping the iPhone this time 👎 @BestBuy,0,Canada,iPhone,2025-06-19 21:24:15,,,,,,,,,,,,,,,
Too expensive for a Laptop. I'll pass #Deal @Apple,0,Australia,Laptop,2025-04-21 02:29:06,,,,,,,,,,,,,,,
Not interested in purchasing the Laptop 😤 @Sony,0,India,Laptop,2025-08-20 19:55:12,,,,,,,,,,,,,,,
I'm going to buy the new iPhone soon 💸 #Offer @Nike,1,USA,iPhone,2025-08-01 04:54:32,,,,,,,,,,,,,,,
Terrible experience with the Laptop @Dell #NewLaunch 😞,0,India,Laptop,2024-09-10 19:23:37,,,,,,,,,,,,,,,
Would not recommend the Camera @Nikon — Quality is bad #Review 😡,0,India,Camera,2024-05-20 22:37:09,,,,,,,,,,,,,,,
Five stars for the Phone @Apple #Unboxing 👍,1,India,Phone,2024-10-19 14:21:28,,,,,,,,,,,,,,,
I'm going to buy the new iPhone soon 💸 #Fashion @Sony,1,India,iPhone,2025-06-20 04:07:55,,,,,,,,,,,,,,,
Thinking about buying the Laptop tomorrow #Deal @BestBuy,1,India,Laptop,2025-08-17 20:27:15,,,,,,,,,,,,,,,
The Smartwatch isn't good enough to buy #MustBuy @Sony,0,USA,Smartwatch,2025-07-24 17:07:18,,,,,,,,,,,,,,,
Thinking about buying the Smartwatch tomorrow #Offer @Flipkart,1,UK,Smartwatch,2025-08-10 12:01:50,,,,,,,,,,,,,,,
Fantastic performance the TV #Sale 😍,1,USA,TV,2025-04-07 13:44:47,,,,,,,,,,,,,,,
Just ordered my iPhone! Can't wait to try it 😎 @Nike,1,India,iPhone,2025-05-04 04:32:56,,,,,,,,,,,,,,,
Really excited to purchase the latest Laptop 🔥 @Amazon,1,India,Laptop,2025-05-04 14:55:27,,,,,,,,,,,,,,,
"I was going to get a iPhone, but changed my mind 🙄 @Flipkart",0,UK,iPhone,2025-05-27 18:08:12,,,,,,,,,,,,,,,
Five stars for the Smartwatch @Apple #Sale,1,India,Smartwatch,2025-08-04 01:43:39,,,,,,,,,,,,,,,
